addressLine1,city,state,zipCode,formattedAddress,squareFootage,yearBuilt,bathrooms,lotSize,propertyType,longitude,latitude
2675 Venice Dr,Grand Prairie,TX,75054,"2675 Venice Dr, Unit 3, Grand Prairie, TX 75054",2233.0,2018.0,2.5,1258.0,Single Family,-97.03718,32.586169
424 Waupelani Dr,State College,PA,16801,"424 Waupelani Dr, Apt Q21, State College, PA 16801",0.0,0.0,0.0,0.0,Unknown,-77.854386,40.77914
5786 S Archer Ave,Chicago,IL,60638,"5786 S Archer Ave, Chicago, IL 60638",0.0,0.0,0.0,0.0,Unknown,-87.757994,41.796499
PO Box 1354,Toms River,NJ,8754,"PO Box 1354, Toms River, NJ 08754",0.0,0.0,0.0,0.0,Unknown,-74.2023,39.9529
4702 Pennoak Ln,Greensboro,NC,27407,"4702 Pennoak Ln, Apt H, Greensboro, NC 27407",1188.0,2007.0,2.0,436.0,Condo,-79.887761,36.03544
4 Pine Ct,Hilton Head Island,SC,29928,"4 Pine Ct, Hilton Head Island, SC 29928",1710.0,1977.0,3.0,0.0,Single Family,-80.798655,32.127564
570 Eagles Crossing Pl,Lake Mary,FL,32746,"570 Eagles Crossing Pl, Lake Mary, FL 32746",3803.0,1995.0,4.0,37391.0,Single Family,-81.329805,28.739886
10 W Main St,Bellville,TX,77418,"10 W Main St, Bellville, TX 77418",0.0,0.0,0.0,0.0,Unknown,-96.257982,29.950753
3309 Sw 318th Pl,Federal Way,WA,98023,"3309 Sw 318th Pl, Unit 69, Federal Way, WA 98023",1543.0,1978.0,1.5,0.0,Townhouse,-122.373545,47.316868
1185 N Village Dr,Round Lake Beach,IL,60073,"1185 N Village Dr, Unit 1, Round Lake Beach, IL 60073",974.0,1999.0,2.0,0.0,Condo,-88.112996,42.370092
110 Stump Dr,Rostraver Township,PA,15012,"110 Stump Dr, Rostraver Township, PA 15012",0.0,1989.0,3.0,17424.0,Single Family,-79.809738,40.175754
101A E Oxford Ave,Alexandria,VA,22301,"101A E Oxford Ave, Alexandria, VA 22301",0.0,0.0,0.0,0.0,Unknown,-77.060184,38.826528
9358 Spanish Moss Way,Bonita Springs,FL,34135,"9358 Spanish Moss Way, Bonita Springs, FL 34135",2099.0,2004.0,2.0,6490.0,Single Family,-81.790157,26.327189
3 Idlewild Mnr,Greenwich,CT,6830,"3 Idlewild Mnr, Greenwich, CT 06830",1582.0,1947.0,2.0,8276.0,Single Family,-73.632556,41.022358
1458 King St,Denver,CO,80204,"1458 King St, Denver, CO 80204",967.0,1962.0,1.0,3446.0,Single Family,-105.033111,39.739605
94-846A Lelepua St,Waipahu,HI,96797,"94-846A Lelepua St, Waipahu, HI 96797",1194.0,1976.0,2.0,0.0,Single Family,-157.995697,21.410906
40 Dexter St,Providence,RI,2909,"40 Dexter St, Providence, RI 02909",5334.0,1883.0,3.0,5025.0,Duplex-Triplex,-71.430613,41.815487
9124 17th Ave S,Minneapolis,MN,55425,"9124 17th Ave S, Minneapolis, MN 55425",1147.0,1954.0,1.0,11326.0,Single Family,-93.250786,44.83777
4445 Saint Georges Ct,Kissimmee,FL,34746,"4445 Saint Georges Ct, Kissimmee, FL 34746",0.0,0.0,0.0,1437.0,Land,-81.460186,28.305937
6406 Euston Dr,Amarillo,TX,79109,"6406 Euston Dr, Amarillo, TX 79109",1746.0,1982.0,2.0,7841.0,Single Family,-101.909727,35.141139
35508 Irvin Way,Millsboro,DE,19966,"35508 Irvin Way, Millsboro, DE 19966",0.0,0.0,0.0,0.0,Unknown,-75.183668,38.601267
2900 Dilido Rd,Dallas,TX,75228,"2900 Dilido Rd, Apt 1137, Dallas, TX 75228",0.0,0.0,0.0,0.0,Unknown,-96.688495,32.810003
137 Fair St,New Bedford,MA,2740,"137 Fair St, New Bedford, MA 02740",3336.0,1930.0,3.0,3149.0,Duplex-Triplex,-70.930934,41.623463
3451 Citation Dr,Green Cove Springs,FL,32043,"3451 Citation Dr, Green Cove Springs, FL 32043",1428.0,1999.0,2.0,12185.0,Single Family,-81.799611,30.037371
425 E Orange St,Tarpon Springs,FL,34689,"425 E Orange St, Tarpon Springs, FL 34689",1424.0,2002.0,2.0,9413.0,Single Family,-82.752028,28.147493
2621 Centinela Ave,Santa Monica,CA,90405,"2621 Centinela Ave, Apt 11, Santa Monica, CA 90405",634.0,1958.0,1.0,17404.0,Condo,-118.450775,34.024764
2211 Stephen Long Dr NE,Atlanta,GA,30305,"2211 Stephen Long Dr NE, Atlanta, GA 30305",3340.0,2006.0,3.5,8494.0,Single Family,-84.382076,33.815233
12829 Lantana Ridge Ct,Austin,TX,78732,"12829 Lantana Ridge Ct, Austin, TX 78732",2229.0,2000.0,2.0,9409.0,Single Family,-97.90043,30.37129
1100 Bellevista Ct,Severna Park,MD,21146,"1100 Bellevista Ct, Severna Park, MD 21146",2940.0,1982.0,2.5,30056.0,Single Family,-76.528795,39.04971
